SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,X,D,E,D,D,TFP,D,B,B,A,A,B,A,A,A,B,A,A,B,B,A,A,C,D,B,C,C,B,A
  SSNAP score,59.7,.,52,39.4,59.8,58.4,.,59.5,70.3,74.7,87.7,89,72.5,81.7,89.0,84.5,79.7,80.3,85.7,79.3,74.0,86.7,86.3,66.0,45.9,70.0,63.5,67.1,76.2,82.7
  Case ascertainment band,A,E,C,D,A,C,E,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,D,A,A,A,A,A
  Audit compliance band,E,X,D,E,D,B,X,D,D,B,B,A,D,A,A,A,A,A,A,A,A,A,A,D,E,D,E,D,C,A
  Combined Total Key Indicator level,B,X,B,B,B,B,TFP,B,A,B,A,A,A,A,A,A,B,A,A,B,B,A,A,B,A,A,B,B,A,A
  Combined Total Key Indicator score,74.7,.,72,70.3,70.3,72.3,.,70,82.7,78.7,92.3,89,85.3,81.7,89.0,89,79.7,80.3,85.7,79.3,74.0,86.7,86.3,77.7,82.0,82.3,79.3,79.0,84.7,82.7
Number of records completed: Team-centred post-72h all teams cohort,30,Insufficient records,27,22,42,24,Insufficient records,40,50,51,57,43,49,49,50,34,42,49,45,55,40,44,50,46,28,41,46,40,40,55
Patient-centred Domain levels: 1) Scanning,C,Insufficient records,A,B,C,C,Too few to report,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B
Patient-centred Domain levels: 2) Stroke unit,B,Insufficient records,B,C,C,C,Too few to report,C,C,C,C,C,C,E,C,C,E,E,E,E,E,E,E,E,E,D,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,Insufficient records,C,B,B,A,Too few to report,C,A,C,A,A,C,B,C,B,D,D,C,D,D,C,D,D,B,B,C,E,C,D
Patient-centred Domain levels: 4) Specialist Assessments,B,Insufficient records,A,B,A,B,Too few to report,C,C,D,B,B,B,B,B,B,B,C,B,D,B,A,B,B,B,B,B,C,C,C
Patient-centred Domain levels: 5) Occupational therapy,C,Insufficient records,A,C,C,B,Insufficient records,C,B,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,Insufficient records,B,C,D,C,Insufficient records,C,B,B,A,A,A,B,A,A,B,A,B,A,B,B,A,B,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,Insufficient records,C,C,B,B,Insufficient records,B,B,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 8) MDT working,C,Insufficient records,B,B,B,B,Too few to report,D,C,D,D,C,C,C,B,A,C,D,C,D,E,D,E,D,E,D,D,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,Insufficient records,B,B,B,B,Insufficient records,A,A,B,A,A,B,A,A,A,A,A,A,B,B,A,A,A,B,A,A,B,A,A
Patient-centred Domain levels: 10) Discharge processes,A,Insufficient records,A,A,A,A,Insufficient records,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,C,C,D,E,B,A,A
Patient-centred KI level Patient-centred Total KI level,B,Insufficient records,A,B,B,B,TFP,B,A,B,A,A,A,B,A,A,B,B,B,B,C,B,B,B,B,B,B,C,B,B
Patient-centred KI level Patient-centred Total KI score,76,.,84,74,74,78,.,70,82,74,88,88,84,80,88.0,88,76,74.0,78.0,72.0,68.0,80.0,76.0,72.0,74.0,78.0,72.0,68.0,76.0,72.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,,C,D,C,C,TFP,D,C,B,A,A,B,B,A,A,B,B,B,B,C,B,B,C,D,C,D,D,C,B
