SSNAP Scoring Summary:,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,A,A,A
  SSNAP score,91.5,86.7,82.4,94.7,96.3,94.3,92.7,85.3,80.9,82.7,78.3,80.4,77.9,79.8,80.0,79.3,78.2,89.9,89.0,82.0
  Case ascertainment band,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B
  Audit compliance band,B,C,C,A,A,A,A,A,B,A,A,B,B,B,A,A,B,B,A,A
  Combined Total Key Indicator level,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A
  Combined Total Key Indicator score,96.3,96.3,96.3,94.7,96.3,94.3,92.7,85.3,89.7,82.7,78.3,84.7,82.0,84.0,80.0,79.3,82.3,94.7,89.0,86.3
Number of records completed: Team-centred post-72h all teams cohort,96,73,56,61,71,93,92,79,74,79,63,72,74,93,91,76,92,71,76,58
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,B,A,B,B,B,A,B,B,A,A,A,A,A,B,A
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,B,B,B,C,C,C,C,C,C,B,C,B,B,B,B,C
Patient-centred Domain levels: 3) Thrombolysis,A,A,A,A,B,A,B,B,B,C,B,B,B,B,C,B,A,A,B,B
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,B,A,B,B,B,B,B,B,A,B,B,A,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,C,C,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,B,B,C,B,B,C,D,D,C,B,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 8) MDT working,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,B,B,D,B,C,C,B,B,B,B,B,B,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,96,96,96,96,96.0,92,92,84.0,86.0,82.0,80.0,86.0,84.0,88.0,80.0,82.0,88.0,96.0,88.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,A,A,A,A,A,A,B,A,B,A,B,A,B,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,91.2,86.4,82.1,96,96.0,92,92,84.0,77.6,82.0,80.0,81.7,79.8,83.6,80.0,82.0,83.6,91.2,88.0,81.7
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,B,A,B,B,C,C,C,B,B,B
Team-centred Domain levels: 6) Physiotherapy,A,A,A,B,A,A,A,B,B,C,C,C,C,C,D,D,D,B,C,C
Team-centred Domain levels: 7) Speech and Language therapy,A,A,A,A,A,A,B,A,A,B,C,B,C,C,A,B,B,A,A,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,B,D,B,C,C,C,B,B,B,B,B,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,A,A,A
Team-centred KI level Team-centred Total KI score,96.7,96.7,96.7,93.3,96.7,96.7,93.3,86.7,93.3,83.3,76.7,83.3,80.0,80.0,80.0,76.7,76.7,93.3,90.0,86.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,91.8,87,82.6,93.3,96.7,96.7,93.3,86.7,84.2,83.3,76.7,79.2,76.0,76.0,80.0,76.7,72.8,88.7,90.0,82.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),2,51,96,111,102,87,70,111,100,107,116,113,100,110,119,122,132,135,151,133
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,0.91,0.76,0.74,82%,0.85,0.81,87%,85%,85%,87%,86%,85%,87%,83%,79%,84%,85%,87%,80%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2,25,56,69,53,51,38,65,67,70,67,53,36,46,61,76,83,61,40,72
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),1,0.49,0.58,0.62,52%,0.59,0.54,59%,67%,65%,58%,47%,36%,42%,51%,62%,63%,45%,26%,54%
