SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,C,A,B,C,C,B,D,B,B,C,C,D,D,C,D,X,X,X,X,X,X,X,X,X,X,TFP,TFP,TFP
SSNAP score,55.8,59.8,63.7,82,72.2,69.3,60.8,70.3,59.8,70,74,65.5,68.4,59.8,59.8,64.6,52.3,.,.,.,.,.,.,.,.,.,.,.,.,.
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,E,E,E,E,E,,,
Audit compliance band,C,B,B,A,B,B,B,B,B,A,A,B,B,B,B,B,B,X,X,X,X,X,X,X,X,X,X,TFP,TFP,TFP
Combined Total Key Indicator level,C,C,C,A,B,B,C,B,C,B,B,C,B,C,C,C,D,X,X,X,X,X,X,X,X,X,X,TFP,TFP,TFP
Combined Total Key Indicator score,62,63,67,82,76,73,64,74,63,70,74,69,72,63,63.0,68,55,.,.,.,.,.,.,.,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,112,100,104,110,111,91,108,117,127,123,141,132,107,125,141,138,155,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,B,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,D,C,D,D,E,E,D,E,E,E,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,D,B,B,B,D,C,C,B,C,D,D,C,D,E,D,D,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,A,A,A,B,B,B,A,B,C,C,D,D,D,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,A,A,A,B,A,A,A,A,A,B,B,B,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,B,C,B,B,B,B,C,B,C,B,A,A,B,B,B,B,C,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,E,C,C,B,C,D,E,C,E,E,C,E,D,D,D,C,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,D,D,C,C,C,C,D,D,C,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,B,D,D,C,B,B,B,B,B,B,A,A,A,B,A,A,B,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 10) Discharge processes,B,D,D,A,B,C,B,B,C,B,A,A,A,A,A,A,A,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred KI level Patient-centred Total KI level,C,C,C,B,B,B,C,B,C,B,B,B,B,C,C,C,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,TFP,TFP,TFP
Patient-centred KI level Patient-centred Total KI score,62,62,66,80,74,72,64,74,62,70,74,70,70,62,64.0,68,58,.,.,.,.,.,.,.,.,.,.,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,B,B,C,C,B,D,B,B,C,C,D,C,C,D,X,X,X,X,X,X,X,X,X,X,TFP,TFP,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,55.8,58.9,62.7,80,70.3,68.4,60.8,70.3,58.9,70,74,66.5,66.5,58.9,60.8,64.6,55.1,.,.,.,.,.,.,.,.,.,.,.,.,.
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,A,B,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,,,
Team-centred Domain levels: 2) Stroke unit,D,C,C,C,C,C,D,C,D,D,E,E,D,E,E,E,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 3) Thrombolysis,D,B,B,B,D,C,C,B,C,D,D,D,D,E,D,D,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,,,
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,A,A,A,B,B,B,A,B,C,C,D,D,D,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,,,
Team-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,A,A,A,A,A,A,A,A,A,B,B,C,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 6) Physiotherapy,B,C,B,A,B,B,C,B,C,B,A,A,B,B,C,B,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,E,C,C,B,C,D,E,C,E,E,C,E,C,D,E,C,E,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 8) MDT working,D,C,C,C,B,C,D,D,D,C,C,C,B,C,C,C,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,,,
Team-centred Domain levels: 9) Standards by discharge,B,D,D,C,B,B,B,B,B,B,A,A,A,B,A,A,B,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 10) Discharge processes,B,D,D,A,B,C,B,B,C,B,A,A,A,A,A,A,A,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred KI level Team-centred Total KI level,C,C,C,A,B,B,C,B,C,B,B,C,B,C,C,C,D,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,Insufficient records,TFP,TFP,TFP
Team-centred KI level Team-centred Total KI score,62,64,68,84,78,74,64,74,64,70,74,68,74,64,62.0,68,52,.,.,.,.,.,.,.,.,.,.,.,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,C,A,B,B,C,B,C,B,B,C,B,C,D,C,D,X,X,X,X,X,X,X,X,X,X,TFP,TFP,TFP
Team-centred SSNAP level Team-centred SSNAP score,55.8,60.8,64.6,84,74.1,70.3,60.8,70.3,60.8,70,74,64.6,70.3,60.8,58.9,64.6,49.4,.,.,.,.,.,.,.,.,.,.,.,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,92,111,142,164,187,196,120,134,149,202,214,221,213,194,205,198,72,80,77,83,53,51,32,27,15,11,14,17,27
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.94,0.9,0.87,1,1,1,0.86,0.86,0.93,0.97,0.96,0.9,0.93,96%,0.99,0.99,100%,100%,99%,94%,88%,94%,94%,90%,71%,61%,82%,81%,87%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,2,12,15,13,15,23,35,54,54,51,24,58,50,7,8,11,14,11,23,34,7,16,14,7,2,2,3,5,6
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.02,0.11,0.11,0.08,0.08,0.12,0.29,0.4,0.36,0.25,0.11,0.26,0.23,4%,0.04,0.06,19%,14%,30%,41%,13%,31%,44%,26%,13%,18%,21%,29%,22%
