SSNAP Scoring Summary:,2014-07-01,2015-01-01,2015-10-01
  SSNAP level,D,TFP,C
  SSNAP score,50.7,.,62.9
  Case ascertainment band,A,,A
  Audit compliance band,E,D,E
  Combined Total Key Indicator level,C,TFP,B
  Combined Total Key Indicator score,63.3,.,78.6
Number of records completed: Team-centred post-72h all teams cohort,22,20,21
Patient-centred Domain levels: 2) Stroke unit,C,Too few to report,A
Patient-centred Domain levels: 5) Occupational therapy,A,Too few to report,B
Patient-centred Domain levels: 6) Physiotherapy,B,Too few to report,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,Too few to report,B
Patient-centred Domain levels: 8) MDT working,E,Too few to report,D
Patient-centred Domain levels: 9) Standards by discharge,D,Too few to report,A
Patient-centred Domain levels: 10) Discharge processes,C,Too few to report,B
Patient-centred KI level Patient-centred Total KI level,C,TFP,B
Patient-centred KI level Patient-centred Total KI score,60,.,77.1
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,TFP,C
Patient-centred SSNAP level Patient-centred SSNAP score,48,.,61.7
Team-centred Domain levels: 2) Stroke unit,C,D,A
Team-centred Domain levels: 5) Occupational therapy,A,A,C
Team-centred Domain levels: 6) Physiotherapy,B,C,C
Team-centred Domain levels: 7) Speech and Language therapy,C,C,B
Team-centred Domain levels: 9) Standards by discharge,D,Too few to report,A
Team-centred Domain levels: 10) Discharge processes,C,Too few to report,B
Team-centred KI level Team-centred Total KI level,C,TFP,B
Team-centred KI level Team-centred Total KI score,66.7,.,80
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,TFP,C
Team-centred SSNAP level Team-centred SSNAP score,53.3,.,64
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),24,34,23
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.96,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2,16,10
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.08,0.47,0.43
