SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,C,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A
SSNAP score,56,56,62,69,74.1,77.9,82,87,88,87,85.5,93,95,91,84.0,90,85,85.0,84.0,83.0,87.0,82.6,86.0,79.8,88.0,84.0,86.0,88.0,87.0,89.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,A,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,59,56,62,69,78,82,82,87,88,87,90,93,95,91,84.0,90,85,85.0,84.0,83.0,87.0,87.0,86.0,84.0,88.0,84.0,86.0,88.0,87.0,89.0
Number of records completed: Team-centred post-72h all teams cohort,145,141,140,138,144,149,152,145,157,158,197,177,180,206,205,190,214,256,221,218,219,183,192,234,193,208,202,201,203,199
Patient-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,C,C,B,B,B,B,C,C,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 3) Thrombolysis,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C
Patient-centred Domain levels: 4) Specialist Assessments,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,B,A,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,C,E,D,C,A,B,B,A,A,A,A,A,A,A,B,A,A,B,B,C,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,D,D,D,B,B,C,B,A,B,A,A,A,B,B,B,B,A,A,B,A,B,A,B,B,B,B,A,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,B,C,C,B,C,B,B,A,A,C,B,B,C,C,C,B,C,C,C,A,B,B,A,B,B
Patient-centred Domain levels: 8) MDT working,C,C,C,B,B,C,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,B,B,B,C,C,C,C,D,C
Patient-centred Domain levels: 9) Standards by discharge,E,E,E,D,D,D,B,B,B,B,B,B,B,C,C,B,C,B,B,B,C,C,D,D,C,C,C,C,C,B
Patient-centred Domain levels: 10) Discharge processes,C,C,B,B,C,B,B,B,A,A,C,B,B,B,B,B,B,B,B,B,B,A,A,B,B,C,C,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,C,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,58,54,62,68,78,80,82,86,88,86,90,92,94,90,84.0,90,84,84.0,82.0,82.0,88.0,88.0,88.0,84.0,88.0,82.0,84.0,92.0,86.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,55.1,54,62,68,74.1,76,82,86,88,86,85.5,92,94,90,84.0,90,84,84.0,82.0,82.0,88.0,83.6,88.0,79.8,88.0,82.0,84.0,92.0,86.0,86.0
Team-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,B,B,B,B,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 3) Thrombolysis,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
