SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,C,C,B,C,C,C,C,B,A,B,B,C,B,B,B,B,C,D,D,D,D,D,D,C,C,C,C,C
SSNAP score,48.4,52,65.5,65.5,75,61,60.8,67.5,64,75,82,80,74,68,71.0,78,78,71.0,62.0,59.0,55.1,55.0,51.3,49.4,54.0,61.8,62.0,63.0,60.8,64.0
Case ascertainment band,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,B,A,A,B,A
Combined Total Key Indicator level,D,D,C,C,B,C,C,B,C,B,A,B,B,C,B,B,B,B,C,D,D,D,D,D,D,C,C,C,C,C
Combined Total Key Indicator score,51,52,69,69,75,61,64,71,64,75,82,80,74,68,71.0,78,78,71.0,62.0,59.0,58.0,55.0,54.0,52.0,54.0,65.0,62.0,63.0,64.0,64.0
Number of records completed: Team-centred post-72h all teams cohort,80,85,85,65,97,87,89,77,99,73,95,109,111,122,107,125,116,118,94,129,122,89,99,107,112,105,124,128,109,122
Patient-centred Domain levels: 1) Scanning,C,D,C,D,B,C,B,B,B,A,A,A,A,B,A,A,A,A,B,A,A,B,B,C,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,D,C,D,D,B,C,C,D,C,C,C,D,D,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,C,B,C,B,C,C,B,C,B,A,A,A,B,C,B,B,C,C,D,D,D,C,D,D,D,D,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,E,E,E,E,D,C,C,D,D,D,B,B,B,C,D,D,D,D,E,C,C,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,C,C,B,C,B,B,A,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,D,C,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,B,C,B,C,A,B,B,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,C,C,C,D,C,C,D,C,C,C,C,C,D,C,D,B,C,B,C,D,C,D,C,C,C,C,C,D
Patient-centred Domain levels: 8) MDT working,D,D,D,C,C,D,D,D,D,C,B,B,D,D,C,C,D,D,D,D,D,E,E,E,E,E,E,E,D,E
Patient-centred Domain levels: 9) Standards by discharge,C,C,B,B,B,C,C,C,C,C,B,C,D,C,B,C,C,B,B,D,C,C,C,C,C,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,B,B,B,A,A,A,B,A,A,A,B,B,A,A,B,B,A,B,B,A,A,A,A,A,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,C,B,B,C,C,B,C,B,A,B,B,B,B,B,B,B,C,C,D,D,D,D,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,50,50,68,70,76,62,64,70,64,74,84,80,74,70,70.0,78,76,72.0,64.0,60.0,58.0,56.0,56.0,54.0,60.0,66.0,66.0,64.0,66.0,64.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,B,C,C,C,C,B,A,B,B,B,B,B,B,B,C,C,D,D,D,D,C,C,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,47.5,50,64.6,66.5,76,62,60.8,66.5,64,74,84,80,74,70,70.0,78,76,72.0,64.0,60.0,55.1,56.0,53.2,51.3,60.0,62.7,66.0,64.0,62.7,64.0
Team-centred Domain levels: 1) Scanning,C,D,C,D,B,C,B,B,B,A,A,A,A,B,A,A,A,A,C,A,A,B,B,C,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,E,D,C,D,D,C,C,C,D,C,C,C,D,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,C,B,C,B,C,C,B,C,B,B,A,A,C,C,B,B,C,D,D,D,D,C,E,D,D,D,C,D,C
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,E,E,E,E,D,C,C,D,D,D,B,B,B,D,D,D,D,D,E,D,C,C,B,B,B
Team-centred Domain levels: 5) Occupational therapy,C,C,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,C,C,B,C,B,C,A,C,D,C,C
Team-centred Domain levels: 6) Physiotherapy,C,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,B,C,C,C,B,B,B,B,C,C,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,C,C,D,D,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,D,E,D,D,D,D,C,D,D
Team-centred Domain levels: 8) MDT working,D,C,C,C,C,D,C,C,D,B,B,B,C,D,C,C,C,D,D,D,D,E,E,E,E,E,E,D,D,D
