SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,C,D,C,C,C,C,D,C,C,A,B,B,B,B,C,C,B,C,C,D,C,C,D,C,D,C,C,D,C
  SSNAP score,55.8,62.7,54,63.7,64.6,64.6,60.8,59.8,61.8,63.7,82,79,74,72,72.0,67,65,70.3,62.7,62.3,51.4,61.8,60.8,45.6,60.0,58.0,68.0,63.0,57.0,65.5
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A
  Audit compliance band,C,B,C,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,B,B
  Combined Total Key Indicator level,C,C,C,C,C,C,C,C,C,C,A,B,B,B,B,C,C,B,C,C,D,C,C,D,C,D,C,C,C,C
  Combined Total Key Indicator score,62,66,60,67,68,68,64,63,65,67,82,79,74,72,72.0,67,65,74.0,66.0,69.0,57.0,65.0,64.0,48.0,60.0,58.0,68.0,63.0,60.0,69.0
Number of records completed: Team-centred post-72h all teams cohort,128,150,144,124,140,148,141,212,214,211,226,226,261,253,249,262,257,226,242,215,227,243,262,239,263,317,313,274,285,318
Patient-centred Domain levels: 1) Scanning,D,C,D,C,B,C,C,D,D,D,A,A,A,B,B,B,B,A,A,A,A,B,A,B,A,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,B,C,B,C,C,C,C,D,C,C,C,D,D,D,D,B,C,C,E,D,D,D,C,D,C,C,D,D
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,C,C,C,D,C,C,D,C,C,C,C,C,C,D,B,C,C,C,B,B,C,C,D,D,C,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,C,B,C,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,C,B,D,B,B,B,B,C,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,B,A,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,D,C,A,B,B,B
Patient-centred Domain levels: 6) Physiotherapy,B,B,C,B,B,B,B,B,B,A,A,A,B,B,B,B,C,B,C,C,D,B,B,C,C,D,C,C,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,D,D,D,E,D,D,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 8) MDT working,D,C,C,C,C,C,C,C,C,C,A,B,B,B,B,C,C,C,C,C,D,C,C,D,C,C,B,C,D,D
Patient-centred Domain levels: 9) Standards by discharge,A,A,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,C,C,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,D,B,C,B,A,C,D,C,C,C,C,C,C,C,C,C,D,E,C,C,C,C,C,C,C,C,C,C,B
Patient-centred KI level Patient-centred Total KI level,C,C,C,C,C,C,C,C,C,C,A,B,B,B,B,C,C,B,C,B,D,C,C,D,C,D,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,62,66,60,66,68,68,64,62,64,64,82,78,74,72,72.0,68,64,74.0,66.0,70.0,58.0,64.0,64.0,52.0,62.0,56.0,68.0,66.0,60.0,68.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,D,C,C,C,C,D,C,C,A,B,B,B,B,C,C,B,C,C,D,C,C,D,C,D,C,C,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,55.8,62.7,54,62.7,64.6,64.6,60.8,58.9,60.8,60.8,82,78,74,72,72.0,68,64,70.3,62.7,63.2,52.3,60.8,60.8,49.4,62.0,56.0,68.0,66.0,57.0,64.6
Team-centred Domain levels: 1) Scanning,D,C,D,C,B,C,C,D,D,C,A,A,A,B,B,B,B,A,A,A,B,A,A,B,A,B,A,B,A,A
Team-centred Domain levels: 2) Stroke unit,B,B,B,B,B,C,C,C,C,D,C,C,C,D,D,D,D,B,C,C,E,D,D,D,C,D,C,C,D,C
Team-centred Domain levels: 3) Thrombolysis,D,D,D,C,C,C,D,C,C,D,C,C,C,C,C,C,D,B,C,C,C,B,B,C,C,C,D,C,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,C,B,C,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,C,B,D,B,B,B,C,C,B
Team-centred Domain levels: 5) Occupational therapy,A,A,B,A,C,C,C,A,A,A,A,A,A,A,A,B,A,A,A,B,C,C,C,D,D,C,A,C,C,C
Team-centred Domain levels: 6) Physiotherapy,B,B,C,B,B,B,B,B,B,A,A,A,B,B,A,B,C,B,C,C,D,B,B,D,D,D,D,C,C,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,C,D,C,E,D,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,D,C,C,C,C,C,B,C,C,C,A,B,B,B,B,C,B,C,C,C,D,C,C,D,C,B,B,C,D,D
Team-centred Domain levels: 9) Standards by discharge,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,C,D,B,B,A,B,B,B
Team-centred Domain levels: 10) Discharge processes,D,D,B,C,B,A,C,D,C,C,C,C,C,C,C,C,C,D,E,C,C,C,C,D,D,C,C,C,B,A
Team-centred KI level Team-centred Total KI level,C,C,C,C,C,C,C,C,C,B,A,B,B,B,B,C,C,B,C,C,D,C,C,D,D,C,C,C,C,B
Team-centred KI level Team-centred Total KI score,62,66,60,68,68,68,64,64,66,70,82,80,74,72,72.0,66,66,74.0,66.0,68.0,56.0,66.0,64.0,44.0,58.0,60.0,68.0,60.0,60.0,70.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,D,C,C,C,C,C,C,C,A,B,B,B,B,C,C,B,C,C,D,C,C,D,D,C,C,C,D,C
Team-centred SSNAP level Team-centred SSNAP score,55.8,62.7,54,64.6,64.6,64.6,60.8,60.8,62.7,66.5,82,80,74,72,72.0,66,66,70.3,62.7,61.4,50.5,62.7,60.8,41.8,58.0,60.0,68.0,60.0,57.0,66.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,168,152,177,210,268,239,219,268,241,368,356,351,367,386,439,459,360,421,387,482,458,403,392,443,403,417,454,518,523
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.88,0.91,0.9,0.92,0.95,0.8,0.8,0.96,0.81,0.98,0.98,1,0.99,99%,0.97,0.93,94%,95%,97%,97%,97%,98%,94%,93%,96%,99%,97%,97%,97%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,95,100,92,94,126,129,65,51,72,81,60,60,67,69,113,220,127,95,119,198,158,107,177,142,46,55,41,114,126
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.57,0.66,0.52,0.45,0.47,0.54,0.3,0.19,0.3,0.22,0.17,0.17,0.18,18%,0.26,0.48,35%,23%,31%,41%,34%,27%,45%,32%,11%,13%,9%,22%,24%
