SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,E,E,D,D,C,D,B,C,C,D,C,C,C,C,C,D,D,D,D,X,E,E,E,E,E,D,D,D
SSNAP score,22.8,22.2,39.3,34.2,50.3,44,61.8,58.9,70,62.7,60,55.1,60,67,65.0,66,65,40.0,45.6,44.0,40.4,.,33.1,35.1,29.9,36.0,37.0,44.6,42.0,44.0
Case ascertainment band,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,C,D,B,A,B,A,A,A,A,A
Audit compliance band,B,C,C,B,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,B,X,D,C,C,C,B,B,A,A
Combined Total Key Indicator level,E,E,D,E,D,D,C,C,B,C,C,D,C,C,C,C,C,D,D,D,D,X,D,E,E,D,E,D,D,D
Combined Total Key Indicator score,24,26,46,36,53,44,65,62,70,66,60,58,60,67,65.0,66,65,40.0,48.0,44.0,50.0,.,41.0,39.0,35.0,40.0,39.0,47.0,42.0,44.0
Number of records completed: Team-centred post-72h all teams cohort,65,71,57,66,97,75,59,79,74,86,69,81,90,86,75,89,88,81,88,66,50,Insufficient records,69,75,72,76,99,88,102,90
Patient-centred Domain levels: 1) Scanning,E,E,E,E,E,E,E,E,E,D,B,C,C,B,B,A,A,B,B,C,B,Insufficient records,A,A,A,A,B,B,B,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,C,E,C,C,D,E,E,E,E,E,D,C,D,E,E,E,E,Insufficient records,C,D,D,E,D,D,D,D
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,E,D,E,E,E,E,D,C,D,E,D,C,D,D,D,E,E,D,Insufficient records,D,D,E,D,E,D,E,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,C,D,A,B,A,B,B,B,C,C,B,B,B,B,B,E,D,D,D,Insufficient records,D,D,D,E,E,D,D,E
Patient-centred Domain levels: 5) Occupational therapy,E,E,D,E,E,E,D,E,A,C,C,B,A,C,C,D,D,E,D,E,E,Insufficient records,E,E,D,B,B,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,E,D,B,B,B,B,A,A,A,B,B,B,B,B,D,C,C,D,C,D,E,Insufficient records,D,D,D,D,D,B,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,C,D,D,E,B,C,C,C,C,C,B,A,C,B,C,E,D,D,B,Insufficient records,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 8) MDT working,E,E,D,E,D,D,B,A,A,A,B,B,B,A,A,A,A,D,C,C,B,Insufficient records,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,D,E,C,B,B,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,B,Insufficient records,E,D,E,E,D,D,E,E
Patient-centred Domain levels: 10) Discharge processes,E,D,D,E,D,D,D,C,C,C,E,E,E,D,D,E,D,E,E,D,D,Insufficient records,D,E,E,D,D,D,C,C
Patient-centred KI level Patient-centred Total KI level,E,E,D,E,D,D,C,C,C,C,C,D,C,C,C,C,C,D,D,D,D,Insufficient records,D,E,E,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,24,26,44,36,52,44,64,62,68,64,60,58,62,68,66.0,68,66,40.0,48.0,44.0,50.0,.,40.0,38.0,36.0,40.0,40.0,46.0,42.0,44.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,D,D,C,D,C,C,C,D,C,C,C,C,C,D,D,D,D,X,E,E,E,E,E,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,22.8,22.2,37.6,34.2,49.4,44,60.8,58.9,68,60.8,60,55.1,62,68,66.0,68,66,40.0,45.6,44.0,40.4,.,32.3,34.2,30.8,36.0,38.0,43.7,42.0,44.0
Team-centred Domain levels: 1) Scanning,E,E,E,E,E,E,E,E,E,D,B,C,C,B,B,A,A,B,B,C,B,Insufficient records,A,A,A,A,B,B,B,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,C,E,C,C,C,E,E,E,E,E,D,C,D,E,E,E,E,Insufficient records,C,D,E,E,D,D,D,D
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,D,E,E,E,E,D,C,D,E,D,C,D,D,D,E,E,D,Insufficient records,D,D,E,E,E,D,E,D
Team-centred Domain levels: 4) Specialist Assessments,D,D,C,D,A,B,A,B,B,B,C,C,C,B,B,B,B,E,D,D,D,Insufficient records,D,D,D,E,E,D,D,E
Team-centred Domain levels: 5) Occupational therapy,E,E,D,E,E,E,C,E,A,C,C,A,A,C,C,E,D,E,D,E,E,Insufficient records,E,E,E,A,C,B,D,C
Team-centred Domain levels: 6) Physiotherapy,E,D,B,B,B,B,A,A,A,B,B,B,B,B,D,C,C,D,C,D,E,Insufficient records,D,C,D,D,D,C,D,C
