SSNAP Scoring Summary:,London SCN,London SCN.1,London SCN.2,London SCN.3,London SCN.4,London SCN.5,London SCN.6,London SCN.7,East Midlands SCN,East Midlands SCN.1,East Midlands SCN.2,East Midlands SCN.3,East Midlands SCN.4,East Midlands SCN.5,East Midlands SCN.6,East Midlands SCN.7,East of England SCN,East of England SCN.1,East of England SCN.2,East of England SCN.3,East of England SCN.4,East of England SCN.5,East of England SCN.6,East of England SCN.7,East of England SCN.8,East of England SCN.9,East of England SCN.10,East of England SCN.11,East of England SCN.12,East of England SCN.13,East of England SCN.14,East of England SCN.15,East of England SCN.16,West Midlands SCN,West Midlands SCN.1,West Midlands SCN.2,West Midlands SCN.3,West Midlands SCN.4,West Midlands SCN.5,West Midlands SCN.6,West Midlands SCN.7,West Midlands SCN.8,West Midlands SCN.9,West Midlands SCN.10,West Midlands SCN.11,West Midlands SCN.12,West Midlands SCN.13,West Midlands SCN.14,West Midlands SCN.15,Cheshire and Mersey SCN,Cheshire and Mersey SCN.1,Cheshire and Mersey SCN.2,Cheshire and Mersey SCN.3,Cheshire and Mersey SCN.4,Cheshire and Mersey SCN.5,Cheshire and Mersey SCN.6,Cheshire and Mersey SCN.7,Cheshire and Mersey SCN.8,"Manchester, Lancashire & S.Cumbria SCN","Manchester, Lancashire & S.Cumbria SCN.1","Manchester, Lancashire & S.Cumbria SCN.2","Manchester, Lancashire & S.Cumbria SCN.3","Manchester, Lancashire & S.Cumbria SCN.4","Manchester, Lancashire & S.Cumbria SCN.5","Manchester, Lancashire & S.Cumbria SCN.6","Manchester, Lancashire & S.Cumbria SCN.7","Manchester, Lancashire & S.Cumbria SCN.8","Manchester, Lancashire & S.Cumbria SCN.9","Manchester, Lancashire & S.Cumbria SCN.10","Manchester, Lancashire & S.Cumbria SCN.11","Manchester, Lancashire & S.Cumbria SCN.12","Manchester, Lancashire & S.Cumbria SCN.13","Manchester, Lancashire & S.Cumbria SCN.14","Manchester, Lancashire & S.Cumbria SCN.15",North of England SCN,North of England SCN.1,North of England SCN.2,North of England SCN.3,North of England SCN.4,North of England SCN.5,North of England SCN.6,North of England SCN.7,North of England SCN.8,North of England SCN.9,North of England SCN.10,North of England SCN.11,Yorkshire and The Humber SCN,Yorkshire and The Humber SCN.1,Yorkshire and The Humber SCN.2,Yorkshire and The Humber SCN.3,Yorkshire and The Humber SCN.4,Yorkshire and The Humber SCN.5,Yorkshire and The Humber SCN.6,Yorkshire and The Humber SCN.7,Yorkshire and The Humber SCN.8,Yorkshire and The Humber SCN.9,Yorkshire and The Humber SCN.10,Yorkshire and The Humber SCN.11,Yorkshire and The Humber SCN.12,Yorkshire and The Humber SCN.13,Yorkshire and The Humber SCN.14,Yorkshire and The Humber SCN.15,South East Coast SCN,South East Coast SCN.1,South East Coast SCN.2,South East Coast SCN.3,South East Coast SCN.4,South East Coast SCN.5,South East Coast SCN.6,South East Coast SCN.7,South East Coast SCN.8,South East Coast SCN.9,South East Coast SCN.10,South East Coast SCN.11,South East Coast SCN.12,South East Coast SCN.13,South East Coast SCN.14,South East Coast SCN.15,South East Coast SCN.16,South East Coast SCN.17,South West SCN,South West SCN.1,South West SCN.2,South West SCN.3,South West SCN.4,South West SCN.5,South West SCN.6,South West SCN.7,South West SCN.8,South West SCN.9,South West SCN.10,South West SCN.11,South West SCN.12,South West SCN.13,Thames Valley SCN,Thames Valley SCN.1,Thames Valley SCN.2,Thames Valley SCN.3,Thames Valley SCN.4,Wessex SCN,Wessex SCN.1,Wessex SCN.2,Wessex SCN.3,Wessex SCN.4,Wessex SCN.5,Wessex SCN.6,Northern Ireland,Northern Ireland.1,Wales,Wales.1,Wales.2,Wales.3,Wales.4,Wales.5,Wales.6,Wales.7,Wales.8,Wales.9,Wales.10,Wales.11,Wales.12,Wales.13,London SCN.8,London SCN.9,London SCN.10,London SCN.11,London SCN.12,London SCN.13,London SCN.14,London SCN.15,London SCN.16,London SCN.17,London SCN.18,London SCN.19,London SCN.20,London SCN.21,London SCN.22,London SCN.23,London SCN.24,London SCN.25,London SCN.26,London SCN.27,London SCN.28,Wessex SCN.7,London SCN.29,East of England SCN.17,West Midlands SCN.16,Yorkshire and The Humber SCN.16,South West SCN.14,South West SCN.15,South West SCN.16,South West SCN.17,Thames Valley SCN.5
Trust,"Barking, Havering and Redbridge University Hospitals NHS Trust",Barts Health NHS Trust,Imperial College Healthcare NHS Trust,King's College Hospital NHS Foundation Trust,King's College Hospital NHS Foundation Trust,North West London Hospitals NHS Trust,St George's Healthcare NHS Trust,University College London Hospitals NHS Foundation Trust,Derby Hospitals NHS Foundation Trust,Kettering General Hospital NHS Foundation Trust,Northampton General Hospital NHS Trust,Nottingham University Hospitals NHS Trust,Sherwood Forest Hospitals NHS Foundation Trust,United Lincolnshire Hospitals NHS Trust,United Lincolnshire Hospitals NHS Trust,University Hospitals of Leicester NHS Trust,Basildon and Thurrock University Hospitals NHS Foundation Trust,Bedford Hospital NHS Trust,Cambridge University Hospitals NHS Foundation Trust,Colchester Hospital University NHS Foundation Trust,East and North Hertfordshire NHS Trust,Ipswich Hospital NHS Trust,James Paget University Hospitals NHS Foundation Trust,Luton and Dunstable University Hospital NHS Foundation Trust,Mid Essex Hospital Services NHS Trust,Milton Keynes Hospital NHS Foundation Trust,Norfolk and Norwich University Hospitals NHS Foundation Trust,Peterborough and Stamford Hospitals NHS Foundation Trust,Princess Alexandra Hospital NHS Trust,Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Southend University Hospital NHS Foundation Trust,West Hertfordshire Hospitals NHS Trust,West Suffolk NHS Foundation Trust,Burton Hospitals NHS Foundation Trust,Dudley Group of Hospitals NHS Foundation Trust,George Eliot Hospital NHS Trust,Heart of England NHS Foundation Trust,Heart of England NHS Foundation Trust,Heart of England NHS Foundation Trust,Royal Wolverhampton NHS Trust,Sandwell and West Birmingham Hospitals NHS Trust,Shrewsbury and Telford Hospital NHS Trust,South Warwickshire NHS Foundation Trust,University Hospital of North Staffordshire NHS Trust,University Hospitals Birmingham NHS Foundation Trust,University Hospitals Coventry and Warwickshire NHS Trust,Walsall Healthcare NHS Trust,Worcestershire Acute Hospitals NHS Trust,Wye Valley NHS Trust,Aintree University Hospitals NHS Foundation Trust,Countess of Chester Hospital NHS Foundation Trust,East Cheshire NHS Trust,Mid Cheshire Hospitals NHS Foundation Trust,Royal Liverpool and Broadgreen University Hospitals NHS Trust,Southport and Ormskirk Hospital NHS Trust,St Helens and Knowsley Teaching Hospitals NHS Trust,Warrington and Halton Hospitals NHS Foundation Trust,Wirral University Teaching Hospital NHS Foundation Trust,Blackpool Teaching Hospitals NHS Foundation Trust,Bolton NHS Foundation Trust,Central Manchester University Hospitals NHS Foundation Trust,Central Manchester University Hospitals NHS Foundation Trust,East Lancashire Hospitals NHS Trust,Lancashire Teaching Hospitals NHS Foundation Trust,Pennine Acute Hospitals NHS Trust,Pennine Acute Hospitals NHS Trust,Pennine Acute Hospitals NHS Trust,Salford Royal NHS Foundation Trust,Stockport NHS Foundation Trust,Tameside Hospital NHS Foundation Trust,University Hospital of South Manchester NHS Foundation Trust,University Hospitals of Morecambe Bay NHS Foundation Trust,University Hospitals of Morecambe Bay NHS Foundation Trust,"Wrightington, Wigan and Leigh NHS Foundation Trust",City Hospitals Sunderland NHS Foundation Trust,County Durham and Darlington NHS Foundation Trust,Gateshead Health NHS Foundation Trust,Newcastle upon Tyne Hospitals NHS Foundation Trust,North Cumbria University Hospitals NHS Trust,North Cumbria University Hospitals NHS Trust,North Tees and Hartlepool NHS Foundation Trust,Northumbria Healthcare NHS Foundation Trust,Northumbria Healthcare NHS Foundation Trust,Northumbria Healthcare NHS Foundation Trust,South Tees Hospitals NHS Foundation Trust,South Tyneside NHS Foundation Trust,Airedale NHS Foundation Trust,Barnsley Hospital NHS Foundation Trust,Bradford Teaching Hospitals NHS Foundation Trust,Calderdale and Huddersfield NHS Foundation Trust,Chesterfield Royal Hospital NHS Foundation Trust,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,Harrogate and District NHS Foundation Trust,Hull and East Yorkshire Hospitals NHS Trust,Leeds Teaching Hospitals NHS Trust,Mid Yorkshire Hospitals NHS Trust,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Rotherham NHS Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,York Teaching Hospital NHS Foundation Trust,York Teaching Hospital NHS Foundation Trust,Ashford and St Peter's Hospitals NHS Foundation Trust,Brighton and Sussex University Hospitals NHS Trust,Brighton and Sussex University Hospitals NHS Trust,Dartford and Gravesham NHS Trust,East Kent Hospitals University NHS Foundation Trust,East Kent Hospitals University NHS Foundation Trust,East Kent Hospitals University NHS Foundation Trust,East Sussex Healthcare NHS Trust,East Sussex Healthcare NHS Trust,Epsom and St Helier University Hospitals NHS Trust,Frimley Park Hospital NHS Foundation Trust,Maidstone and Tunbridge Wells NHS Trust,Maidstone and Tunbridge Wells NHS Trust,Medway NHS Foundation Trust,Royal Surrey County Hospital NHS Foundation Trust,Surrey and Sussex Healthcare NHS Trust,Western Sussex Hospitals NHS Trust,Western Sussex Hospitals NHS Trust,Gloucestershire Hospitals NHS Foundation Trust,Great Western Hospitals NHS Foundation Trust,North Bristol NHS Trust,Northern Devon Healthcare NHS Trust,Plymouth Hospitals NHS Trust,Royal Cornwall Hospitals NHS Trust,Royal Devon and Exeter NHS Foundation Trust,Royal United Hospital Bath NHS Trust,Salisbury NHS Foundation Trust,South Devon Healthcare NHS Foundation Trust,Taunton and Somerset NHS Foundation Trust,University Hospitals Bristol NHS Foundation Trust,Weston Area Health NHS Trust,Yeovil District Hospital NHS Foundation Trust,Buckinghamshire Healthcare NHS Trust,Heatherwood and Wexham Park Hospitals NHS Foundation Trust,Oxford University Hospitals NHS Trust,Oxford University Hospitals NHS Trust,Royal Berkshire NHS Foundation Trust,Dorset County Hospital NHS Foundation Trust,Hampshire Hospitals NHS Foundation Trust,Isle of Wight NHS Trust,Poole Hospital NHS Foundation Trust,Portsmouth Hospitals NHS Trust,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,University Hospital Southampton NHS Foundation Trust,Western Health and Social Care Trust,Western Health and Social Care Trust,Abertawe Bro Morgannwg University Health Board,Abertawe Bro Morgannwg University Health Board,Aneurin Bevan University Health Board,Aneurin Bevan University Health Board,Betsi Cadwaladr University Health Board,Betsi Cadwaladr University Health Board,Betsi Cadwaladr University Health Board,Cardiff and Vale University Health Board,Cwm Taf University Health Board,Cwm Taf University Health Board,Hywel Dda Health Board,Hywel Dda Health Board,Hywel Dda Health Board,Hywel Dda Health Board,"Barking, Havering and Redbridge University Hospitals NHS Trust",Barts Health NHS Trust,Barts Health NHS Trust,Barts Health NHS Trust,Chelsea and Westminster Hospital NHS Foundation Trust,Croydon Health Services NHS Trust,Epsom and St Helier University Hospitals NHS Trust,Guy's and St Thomas' NHS Foundation Trust,Hillingdon Hospitals NHS Foundation Trust,Homerton University Hospital NHS Foundation Trust,Imperial College Healthcare NHS Trust,Imperial College Healthcare NHS Trust,King's College Hospital NHS Foundation Trust,King's College Hospital NHS Foundation Trust,Kingston Hospital NHS Foundation Trust,Lewisham and Greenwich NHS Trust,North West London Hospitals NHS Trust,Royal Free London NHS Foundation Trust,St George's Healthcare NHS Trust,University College London Hospitals NHS Foundation Trust,West Middlesex University Hospital NHS Trust,Hampshire Hospitals NHS Foundation Trust,"Barking, Havering and Redbridge University Hospitals NHS Trust",Norfolk Community Health and Care NHS Trust,Staffordshire and Stoke-on-Trent Partnership NHS Trust,Doncaster and Bassetlaw Hospitals NHS Foundation Trust,Northern Devon Healthcare NHS Trust,Peninsula Community Health CIC,Plymouth Community Healthcare CIC,Torbay and  Southern Devon Health and Care NHS Trust,Oxford Health NHS Foundation Trust
Team,Queens Hospital Romford HASU,Royal London Hospital HASU,Charing Cross Hospital HASU,King's College Hospital HASU,Princess Royal University Hospital HASU,Northwick Park Hospital HASU,St George's Hospital HASU,University College Hospital HASU,Royal Derby Hospital,Kettering General Hospital,Northampton General Hospital,Nottingham City Hospital,Kings Mill Hospital,Lincoln County Hospital,Pilgrim Hospital,Leicester Royal Infirmary,Basildon University Hospital,Bedford Hospital,Addenbrooke's Hospital,Colchester General Hospital,Lister Hospital,Ipswich Hospital,James Paget Hospital,Luton and Dunstable Hospital,Broomfield Hospital,Milton Keynes General Hospital,Norfolk and Norwich University Hospital,Peterborough City Hospital,Princess Alexandra Hospital,Queen Elizabeth Hospital Kings Lynn,Southend Hospital,Watford General Hospital,West Suffolk Hospital,Queens Hospital Burton upon Trent,Russells Hall Hospital,George Eliot Hospital,Birmingham Heartlands Hospital,Good Hope General Hospital,Solihull Hospital,New Cross Hospital,Sandwell District Hospital,Princess Royal Hospital Telford,Warwick Hospital,University Hospital of North Staffordshire,Queen Elizabeth Hospital Edgbaston,University Hospital Coventry,Manor Hospital,Worcestershire Royal Hospital,Hereford County Hospital,University Hospital Aintree,Countess of Chester Hospital,Macclesfield District General Hospital,Leighton Hospital,Royal Liverpool University Hospital,Southport and Formby District General,Whiston Hospital,Warrington Hospital,Arrowe Park Hospital,Blackpool Victoria Hospital,Royal Bolton Hospital,Manchester Royal Infirmary,Trafford General Hospital,Royal Blackburn Hospital,Royal Preston Hospital,Fairfield General Hospital,North Manchester General Hospital,Royal Oldham Hospital,Salford Royal Hospital,Stepping Hill Hospital,Tameside General Hospital,Wythenshawe Hospital,Furness General Hospital,Royal Lancaster Infirmary,Royal Albert Edward Infirmary,Sunderland Royal Hospital,University Hospital of North Durham,Queen Elizabeth Hospital Gateshead,Royal Victoria Infirmary,Cumberland Infirmary,West Cumberland Hospital,University Hospitals of North Tees and Hartlepool,Hexham General Hospital,North Tyneside General Hospital,Wansbeck General Hospital,James Cook University Hospital,South Tyneside District Hospital,Airedale General Hospital,Barnsley Hospital,Bradford Royal Infirmary,Calderdale Royal Hospital,Chesterfield Royal,Doncaster Royal Infirmary,Harrogate District Hospital,Hull Royal Infirmary,Leeds General Infirmary,Pinderfields Hospital,Diana Princess of Wales Hospital Grimsby,Scunthorpe General Hospital,Rotherham Hospital,Royal Hallamshire Hospital,Scarborough General Hospital,York Hospital,St Peter's Hospital,Princess Royal Hospital Haywards Heath,Royal Sussex County Hospital,Darent Valley Hospital,Kent and Canterbury Hospital,Queen Elizabeth the Queen Mother Hospital,William Harvey Hospital,Conquest Hospital,Eastbourne District General Hospital,Epsom Hospital,Frimley Park Hospital,Maidstone District General Hospital,Tunbridge Wells Hospital,Medway Maritime Hospital,Royal Surrey County Hospital,East Surrey Hospital,St Richards Hospital,Worthing Hospital,Gloucestershire Royal Hospital,Great Western Hospital Swindon,North Bristol Hospitals,North Devon District Hospital,Derriford Hospital,Royal Cornwall Hospital,Royal Devon and Exeter Hospital,Royal United Hospital Bath,Salisbury District Hospital,Torbay Hospital,Musgrove Park Hospital,Bristol Royal Infirmary,Weston General Hospital,Yeovil District Hospital,Wycombe General Hospital,Wexham Park Hospital,Horton General Hospital,John Radcliffe Hospital,Royal Berkshire Hospital,Dorset County Hospital,Royal Hampshire County Hospital,St Mary's Hospital Newport,Poole Hospital,Queen Alexandra Hospital Portsmouth,Royal Bournemouth General Hospital,Southampton General Hospital,Altnagelvin Hospital,South West Acute Hospital,Morriston Hospital,Princess Of Wales Hospital,Nevill Hall Hospital,Royal Gwent Hospital,Glan Clwyd District General Hospital,Maelor Hospital,Ysbyty Gwynedd,University Hospital of Wales,Prince Charles Hospital,Royal Glamorgan,Bronglais Hospital,Prince Philip Hospital,West Wales General,Withybush General Hospital,Queens Hospital Romford SU,Newham General Hospital,Royal London Hospital SU,Whipps Cross University Hospital,Chelsea and Westminster Hospital,Croydon University Hospital,St Helier Hospital,St Thomas Hospital,Hillingdon Hospital,Homerton University Hospital,Charing Cross Hospital SU,St Mary's Hospital Paddington,King's College Hospital SU,Princess Royal University Hospital SU,Kingston Hospital,University Hospital Lewisham,Northwick Park Hospital SU,Royal Free Hospital,St George's Hospital SU,University College Hospital SU,West Middlesex University Hospital,Basingstoke and North Hampshire Hospital,King George Hospital Inpatient Rehab Team,Norwich Community Hospital - Beech Ward,Staffordshire Rehabilitation Team,Montagu Hospital,Bideford Community Hospital,Cornwall and Isles of Scilly Inpatient Rehab Team,Mount Gould Hospital,Newton Abbot Hospital,Abingdon Community Hospital
SSNAP level,D,D,C,B,D,C,D,C,X,E,D,X,D,C,D,E,D,E,E,B,D,D,D,E,D,X,D,D,X,X,D,D,D,E,D,E,X,X,E,D,C,E,E,E,D,D,E,E,D,E,X,D,D,D,D,E,D,D,E,X,E,E,E,E,D,D,E,D,D,D,E,D,E,E,D,D,E,E,E,D,E,D,C,D,C,E,E,D,E,E,E,E,D,E,E,E,D,D,D,D,E,D,D,E,D,E,D,C,D,,E,C,E,E,E,E,D,D,E,E,E,E,E,D,E,D,D,E,E,E,D,D,E,D,D,E,E,D,C,D,D,E,E,X,D,X,E,E,E,E,E,E,E,E,E,E,E,E,D,E,E,E,C,B,B,C,B,D,D,C,D,B,D,,B,D,C,E,C,C,D,C,,E,B,E,D,D,,D,C,C,D
SSNAP score,47.9,50.6,60,72.2,55.1,67,59.4,65.4,.,14,50.3,.,51.3,61.4,47,36,48.4,36.7,16.4,72,46.8,56,54.7,31.2,41.9,.,42,40,.,.,55.8,48.4,47,37.4,59.4,25.5,.,.,22.8,41.5,62.7,31.5,24.7,38.8,41.5,44.4,28.8,21.8,40.9,39,.,43.3,42.5,45,51.3,34.7,47.5,55.8,25,.,30.6,28.8,19.8,39.6,41.9,45,28.1,51.3,48.4,46.2,38,42.8,31.6,36.5,42,48.6,39,36.7,35,42.4,36.1,53.1,60.3,55.8,60.8,34,38,40.6,28.3,32.8,36.8,35.5,52.2,35.9,22.8,20.1,40.4,48.4,41.8,48.7,27.2,51.3,54.7,38.8,41.5,27.5,50.1,62.1,47.9,.,26.8,61.8,36.7,28.1,29.9,30.6,46.8,43.3,25.6,36.9,36,38.8,38.9,47.1,33.6,44.1,47.9,24.8,38.7,37.4,58.9,49.4,31.6,47.9,53.1,28.8,37.8,47.9,68.6,49.4,49.5,39.6,30.6,.,43.4,.,20.7,27,16,15.7,30.7,12.6,16,13.7,12,16,17.1,24.2,51.5,23.1,22.8,20.5,63,71.4,70.3,60.8,76,57.8,52.5,61.8,46,78.5,50.2,.,71.7,54.6,62.6,36.9,68,62.4,53.5,65,.,33,70.8,34.6,41.9,45.3,.,49.2,69,62.9,51.8
Case ascertainment band,D,D,A,A,B,C,A,B,E,D,A,E,A,B,C,C,B,C,D,A,B,B,B,A,B,E,B,A,E,E,A,A,B,A,A,A,E,E,B,B,A,B,A,B,B,B,A,D,B,C,E,B,A,A,B,B,A,A,D,E,A,A,B,A,B,A,A,B,A,B,A,A,B,B,B,A,C,C,B,A,C,A,A,A,A,A,B,B,C,D,B,B,A,B,E,D,B,B,A,B,A,A,B,B,B,C,A,A,B,D,D,A,E,A,B,C,B,B,B,A,A,B,A,B,A,A,B,B,A,A,A,A,B,B,A,A,A,B,B,A,A,B,A,E,A,E,A,A,E,D,B,D,E,E,E,E,D,C,C,B,E,E,A,A,A,A,A,A,B,A,C,A,C,E,A,A,A,D,A,C,C,C,D,A,A,C,C,A,B,C,A,A,A
Audit compliance band,B,D,A,B,B,B,C,D,X,E,B,X,C,D,D,C,D,C,E,C,D,B,C,E,C,X,D,E,X,X,C,D,C,D,C,D,X,X,E,B,B,D,B,D,B,D,C,D,A,D,X,B,D,C,C,D,B,C,D,X,D,E,E,C,C,C,D,C,D,C,B,B,C,E,D,C,D,C,E,E,D,C,C,C,B,D,A,B,B,C,C,D,C,C,B,D,D,D,B,B,D,C,C,B,B,B,D,C,C,,D,B,D,D,C,C,D,B,C,C,C,D,B,E,E,C,C,C,C,D,B,B,B,C,C,E,C,C,B,B,C,D,C,X,D,X,C,C,B,E,B,C,B,B,A,B,A,B,D,C,B,B,C,D,D,E,A,D,D,D,E,D,C,,D,C,D,D,D,B,D,C,,C,D,E,E,E,,D,B,D,E
Combined Total Key Indicator level,B,A,C,B,C,A,C,A,X,E,D,X,D,B,C,D,C,D,E,B,D,C,C,E,D,X,D,D,X,X,C,D,D,D,C,E,X,X,E,D,C,E,E,D,D,D,E,E,D,D,X,D,D,D,C,D,D,C,D,X,E,E,E,D,D,D,E,C,D,D,D,D,E,D,D,D,D,D,D,D,D,D,C,C,C,D,D,D,E,D,D,D,D,D,D,E,D,C,D,D,E,D,C,D,D,E,D,C,D,,D,C,B,E,E,D,D,D,E,D,D,D,D,C,D,D,D,E,D,D,C,D,E,D,D,E,D,D,B,D,D,D,E,X,D,X,E,E,E,E,E,E,E,E,E,E,E,E,B,E,D,E,B,A,A,B,B,C,C,B,C,A,C,,A,C,B,C,B,B,B,A,,E,A,D,C,D,,C,B,B,C
Combined Total Key Indicator score,72,85,60,76,61,83,66,81,.,25,53,.,57,76,65,47,60,48,29.3,80,58,62,64,39,49,.,52,50,.,.,62,57,55,44,66,30,.,.,30,46,66,39,26,48,46,55,32,36.7,43,54,.,48,50,50,60,43,50,62,42,.,36,36,26,44,49,50,33,60,57,54,40,45,37,48,52,54,54,48,46,53,50,59,67,62,64,40,40,45,35,52,43,44,58,42,40,33.7,50,60,44,54,32,57,64,43,46,34,59,69,56,.,45,65,72,33,35,40,58,48,30,41,40,48,41,62,42,49,56,29,43,44,62,52,35,56,59,36,42,56,76,52,55,49,34,.,51,.,23,30,28,28,34,20,28,24,20,28,24.5,30,71.3,27,40,36,70,84,82.7,76,76,68,65,72.7,67.7,92.3,65.7,.,84.3,60.7,73.7,62,80,77.3,74,85,.,36.7,83.3,51,61.7,56.7,.,68.1,72.6,74,64.8
Patient-centred Domain levels: 1) Scanning,B,B,A,B,A,B,A,A,Insufficient records,E,C,Insufficient records,D,A,B,C,B,E,D,A,B,C,B,B,C,Insufficient records,C,A,Insufficient records,Insufficient records,C,B,A,D,B,E,Insufficient records,Insufficient records,B,C,A,C,E,B,B,B,D,D,C,D,Insufficient records,C,D,D,D,D,D,C,E,Insufficient records,D,E,E,E,C,C,E,A,B,A,D,C,C,D,B,C,D,C,D,D,E,D,D,C,D,E,E,D,D,E,B,D,C,C,D,E,C,C,C,B,E,E,B,A,A,C,A,A,A,Too few to report,B,B,B,D,D,C,A,B,E,E,E,B,B,E,D,A,B,E,B,E,D,A,D,C,B,E,D,B,B,E,D,B,E,None entered,E,Insufficient records,E,E,E,E,E,E,E,E,E,C,D,E,B,E,B,C,B,B,C,B,A,A,B,A,B,B,A,Not included in scoring,A,A,A,A,B,A,A,A,Not included in scoring,D,,,,,,,,,
Patient-centred Domain levels: 2) Stroke unit,C,C,B,C,D,A,C,C,Insufficient records,E,D,Insufficient records,C,C,C,C,D,C,D,C,D,B,B,C,D,Insufficient records,D,C,Insufficient records,Insufficient records,B,C,B,E,B,E,Insufficient records,Insufficient records,D,D,B,B,E,C,E,D,E,E,C,E,Insufficient records,B,D,C,C,C,D,B,B,Insufficient records,E,C,D,C,B,E,D,B,B,C,D,B,C,D,C,A,C,B,C,C,B,B,B,B,B,E,C,D,D,C,C,D,C,C,D,E,D,B,D,A,C,B,E,B,C,E,C,C,C,Too few to report,C,C,C,E,E,D,C,C,E,C,D,D,E,D,D,E,B,E,C,E,C,D,E,C,C,D,C,C,C,C,A,C,C,None entered,D,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E,E,C,D,C,C,D,C,D,C,A,B,B,Too few to report,B,C,B,C,A,B,C,C,Too few to report,C,A,C,A,B,Not included in scoring,B,B,A,A
